"period","theft_measure","theft_5yr","annual_average","urban_population_share_pct","index_1870_100"
"1866-1870","Core theft convictions, exact 5-year count",8725,1745,25,100
"1901-1905","Core theft convictions, estimated from stated annual averages",10110,2022,40,115.9
