period,source_pdf,source_page,region_original,region_clean,urban_status,sex,category_original,category_clean,merge_group,convictions_5yr,source_note
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,K,Tyveri 2den Gang,Tyveri 2den Gang,core_theft,79,Table 3 extracted from p. VIII
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,M,Tyveri 3die Gang,Tyveri 3die Gang,core_theft,124,Table 3 extracted from p. VIII
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,K,Tyveri 3die Gang,Tyveri 3die Gang,core_theft,21,Table 3 extracted from p. VIII
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,M,Tyveri 4de Gang og oftere,Tyveri 4de Gang eller oftere,core_theft,70,Table 3 extracted from p. VIII
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,K,Tyveri 4de Gang og oftere,Tyveri 4de Gang eller oftere,core_theft,9,Table 3 extracted from p. VIII
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,M,Tyveri og Hæleri afvexlende begaaet,Tyveri og Haeleri afvekslende,tyveri_related,22,Table 3 extracted from p. VIII
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,K,Tyveri og Hæleri afvexlende begaaet,Tyveri og Haeleri afvekslende,tyveri_related,12,Table 3 extracted from p. VIII
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,M,Smaa-Tyverier og -Bedragerier,Smaatyverier og Bedragerier,minor_theft_mixed,99,Includes fraud; retained because source category contains Tyveri
1866-1870,krim1870.pdf,14,Öernes Landdistrikter,Oernes Landdistrikter,Rural,K,Smaa-Tyverier og -Bedragerier,Smaatyverier og Bedragerier,minor_theft_mixed,62,Includes fraud; retained because source category contains Tyveri
1866-1870,krim1870.pdf,15,Jyllands Kjöbstæder,Jyllands Koebstaeder,Urban,M,Tyveri late Gang begaaet,Tyveri 1ste Gang,core_theft,529,Table 3 extracted from p. IX
1866-1870,krim1870.pdf,15,Jyllands Kjöbstæder,Jyllands Koebstaeder,Urban,K,Tyveri late Gang begaaet,Tyveri 1ste Gang,core_theft,216,Table 3 extracted from p. IX
1866-1870,krim1870.pdf,15,Jyllands Kjöbstæder,Jyllands Koebstaeder,Urban,M,Tyveri 2den Gang,Tyveri 2den Gang,core_theft,115,Table 3 extracted from p. IX
