year,urban_population_share_pct,source_pdf,source_page,source_quote_note
1870,25,rets1905.pdf,39,"Text states that towns' share of the population was 25 pct. in 1870"
1906,40,rets1905.pdf,39,"Text states that towns' share of the population was 40 pct. in 1906"
