period,source_pdf,source_page,sex,annual_average_property_crime_convictions,source_note
1901-1905,rets1905.pdf,39,M,2247,"Tabel 4: Ejendomsforbrydelser including falsk"
1901-1905,rets1905.pdf,39,K,417,"Tabel 4: Ejendomsforbrydelser including falsk"
